,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,title_short,year,bad_good
20529,France,"Ripe tannins and rich red-plum fruits give this wine a generous rounded character. Bringing out the generosity of this vintage, the wine is a balance between the broad fruits and acidity. In the background, the tannins give the wine extra weight. Drink from 2023.",Les Champs Martin Premier Cru,90,37.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Château de Santenay 2019 Les Champs Martin Premier Cru  (Mercurey),Pinot Noir,Château de Santenay, 2019 Les Champs Martin Premier Cru  (Mercurey),2019,Mid
20531,France,"This perfumed wine comes from the home vineyard of the producer. With soft tannins and juicy red-berry fruit, the wine is straightforward, delicious and very much in the style of the vintage. It has a crisp end of acidity that gives it just the right lift. Drink from 2022.",Les Beaumonts,90,35.0,Burgundy,Chorey-lès-Beaune,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2019 Les Beaumonts  (Chorey-lès-Beaune),Pinot Noir,Domaine Arnoux Père et Fils, 2019 Les Beaumonts  (Chorey-lès-Beaune),2019,Mid
20611,France,"This cool-climate Pinot Noir is soft and gentle. Its ripe tannins and cherry flavors are both lightly structured and juicy. Although still young, it's ready to drink.",Alphonse Dolly Les Doigts d'Or de Dolly,87,14.0,France Other,Vin de France,,Roger Voss,@vossroger,Eric Louis 2020 Alphonse Dolly Les Doigts d'Or de Dolly Pinot Noir (Vin de France),Pinot Noir,Eric Louis, 2020 Alphonse Dolly Les Doigts d'Or de Dolly Pinot Noir (Vin de France),2020,Mid
20853,France,"While the wine is structured, it does also have plenty of ripe, juicy fruitiness that is already delicious. It's an open wine, rounded and rich in fruit flavor. The tannins are likely to smooth out soon, so drink from 2020.",Château de Mercey,89,28.0,Burgundy,Santenay,,Roger Voss,@vossroger,Antonin Rodet 2015 Château de Mercey  (Santenay),Pinot Noir,Antonin Rodet, 2015 Château de Mercey  (Santenay),2015,Mid
20864,France,"Earthy aromas and a soft red fruit ripeness are dominated by wood and smoky spice. They give an unbalanced feel to the wine, not allowing much room for the potential of the fruitiness and acidity.",Epineuil,86,20.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Simonnet-Febvre 2016 Epineuil  (Bourgogne),Pinot Noir,Simonnet-Febvre, 2016 Epineuil  (Bourgogne),2016,Bad
20937,France,"Simple earthy notes interspersed with faint cherry aromas open this pleasant, good-value Pinot Noir from the south of France. The blueberry-flavored palate shows riper fruit than is typical for Burgundy and may appeal to those who find California Pinots to be a bit overwhelming. Tannins are in abundance here but are fine enough not to interfere with tuna or swordfish in a delicate sauce.",,84,10.0,Languedoc-Roussillon,Vin de Pays d'Oc,,,,Gala Rouge 2010 Pinot Noir (Vin de Pays d'Oc),Pinot Noir,Gala Rouge, 2010 Pinot Noir (Vin de Pays d'Oc),2010,Bad
20999,France,"Produced from old vines in the Aegerter Domaine, this wine is dominated by red fruits and spice from wood aging. It is fruity, perfumed and likely to be ready to drink soon. Drink from 2022.",Vieilles Vignes,85,28.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2019 Vieilles Vignes  (Bourgogne),Pinot Noir,Jean-Luc and Paul Aegerter, 2019 Vieilles Vignes  (Bourgogne),2019,Bad
21138,France,"Produced from vineyards in the hills above the Côte de Nuits, this wine benefits from the ripe vintage of 2019. It has open red fruit and soft tannins that are both lifted by the acidity. Made to be drunk young, this is ready to enjoy now.",Collection,87,26.0,Burgundy,Hautes Côtes de Nuits,,Roger Voss,@vossroger,L. Tramier & Fils 2019 Collection  (Hautes Côtes de Nuits),Pinot Noir,L. Tramier & Fils, 2019 Collection  (Hautes Côtes de Nuits),2019,Mid
21221,France,"While it does have the structure of a Pommard, this is also a ripe, rounded wine. Its sweet red fruits surround the firm tannins offering richness. A wine that will offer sold pleasure in 3–4 years.",Rugiens Premier Cru,89,120.0,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine Moillard 2013 Rugiens Premier Cru  (Pommard),Pinot Noir,Domaine Moillard, 2013 Rugiens Premier Cru  (Pommard),2013,Mid
21222,France,A beautifully perfumed wine that shows some of the structure of a Gevrey but combines this with dark rich fruits and sweet tannins. There is a smoky flavor that balances the ripe red fruits and final acidity.,,89,55.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Thierry Mortet 2013  Gevrey-Chambertin,Pinot Noir,Domaine Thierry Mortet, 2013  Gevrey-Chambertin,2013,Mid
21258,France,"A fresh wine with red cherry fruits giving a bright character, the tannins soft and with attractive acidity. It is lightly textured and should be ready to drink in 1–2 years.",,86,35.0,Burgundy,Côte de Nuits-Villages,,Roger Voss,@vossroger,Domaine Moillard 2013  Côte de Nuits-Villages,Pinot Noir,Domaine Moillard, 2013  Côte de Nuits-Villages,2013,Bad
21479,France,"This is an open delicious wine, full of red-cherry and red-currant fruit with a touch of minerality to add texture. Some wood aging has smoothed out the crisp fruit and added vanilla to the mix. Drink this ripe wine from 2022.",Buissonnier,87,20.0,Burgundy,Côte Chalonnaise,,Roger Voss,@vossroger,Vignerons de Buxy 2019 Buissonnier  (Côte Chalonnaise),Pinot Noir,Vignerons de Buxy, 2019 Buissonnier  (Côte Chalonnaise),2019,Mid
21490,France,The wine is juicy with intense acidity. Its red-currant flavor is consistent with this acidity. Tannins are firm and will soften. The juicy aftertaste gives the wine crispness.,Aux Serpentières Premier Cru,87,65.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine Pierre Guillemot 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine Pierre Guillemot, 2019 Aux Serpentières Premier Cru  (Savigny-lès-Beaune),2019,Mid
21711,France,"Very opulent, very rich, this is a complex, structured wine packed with fruit and brooding tannins. It is already rich, and will develop into a beautifully intense, concentrated and generous wine.",Clos de la Roche,96,304.0,Burgundy,Clos de la Roche,,Roger Voss,@vossroger,Domaine Dujac 2013 Clos de la Roche  (Clos de la Roche),Pinot Noir,Domaine Dujac, 2013 Clos de la Roche  (Clos de la Roche),2013,Good
21712,France,"A sumptuous wine, rich in bright red fruits, with a structure and depth of flavor to match. The wine is gorgeously ripe, opening its heart quickly. Acidity, bitter chocolate and dark cherries go with the tannic core to promise long aging.",Musigny,96,510.0,Burgundy,Musigny,,Roger Voss,@vossroger,Domaine Jacques Prieur 2013 Musigny  (Musigny),Pinot Noir,Domaine Jacques Prieur, 2013 Musigny  (Musigny),2013,Good
21715,France,"A structured wine, with great density of fruit, richness of  texture and at the same time acidity. Its black fruit and red berry flavors are pure and very linear while also giving the wine a full-bodied character.",Echézeaux,95,370.0,Burgundy,Echézeaux,,Roger Voss,@vossroger,Domaine Jacques Prieur 2013 Echézeaux  (Echézeaux),Pinot Noir,Domaine Jacques Prieur, 2013 Echézeaux  (Echézeaux),2013,Good
21718,France,"A powerful, classic Chambertin, intensely structured and tannic. The sweet black fruit is potentially enormous, still finding its place among the tannins. Spice, with a mineral streak, gives the wine added complexity. Very dense in texture, this will age 10 years and many more.",Chambertin,95,360.0,Burgundy,Chambertin,,Roger Voss,@vossroger,Domaine Jacques Prieur 2013 Chambertin  (Chambertin),Pinot Noir,Domaine Jacques Prieur, 2013 Chambertin  (Chambertin),2013,Good
21719,France,"A very rich wine, showing all the opulence of 2013. Black plums, damsons and wood flavors are already combined and integrated. The acidity in all this richness and power seems low, leaving the tannins to support aging.",Clos de Saint-Denis,95,304.0,Burgundy,Clos Saint-Denis,,Roger Voss,@vossroger,Domaine Dujac 2013 Clos de Saint-Denis  (Clos Saint-Denis),Pinot Noir,Domaine Dujac, 2013 Clos de Saint-Denis  (Clos Saint-Denis),2013,Good
22065,France,"This easy-drinking Pinot leads with bright aromas of red currant, raspberry and strawberry hull, all leaning slightly sour. The palate is light and tangy, with tart red-berry flavors that finish clean.",,84,12.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Tussock Jumper 2018 Pinot Noir (Vin de France),Pinot Noir,Tussock Jumper, 2018 Pinot Noir (Vin de France),2018,Bad
22201,France,"A lightweight, dusty-smelling Pinot Noir from near Sancerre. The fruit is very soft, with the dryness giving a final firmness to the aftertaste. Flavors of red cherries have a dusty, perfumed character.",Domaine de Châtenoy Rouge Noir,85,25.0,Loire Valley,Menetou-Salon,,Roger Voss,@vossroger,Xavier Flouret 2009 Domaine de Châtenoy Rouge Noir  (Menetou-Salon),Pinot Noir,Xavier Flouret, 2009 Domaine de Châtenoy Rouge Noir  (Menetou-Salon),2009,Bad
22437,France,"This is a hard-edged wine, a typical trait of young Pommard. It has a firm, dry and tannic character, and the ripe, generous fruit sits underneath. Wait for at least five years for this wine to be ready.",Clos Blanc Premier Cru,89,61.0,Burgundy,Pommard,,Roger Voss,@vossroger,Domaine A. Machard de Gramont 2014 Clos Blanc Premier Cru  (Pommard),Pinot Noir,Domaine A. Machard de Gramont, 2014 Clos Blanc Premier Cru  (Pommard),2014,Mid
22448,France,"With a proportion of premier cru grapes in the blend, this wine has weight and structure as well as the ripe red-fruit flavors that are typical of Santenay. It's richly textured and full in the mouth. The finish is fruity and soft.",,89,45.0,Burgundy,Santenay,,Roger Voss,@vossroger,Olivier Leflaive 2014  Santenay,Pinot Noir,Olivier Leflaive, 2014  Santenay,2014,Mid
22496,France,"Just next door to the Corton Grand Cru vines, this vineyard can produce wines of equal quality. This wine certainly has something of the richness and structure, giving it concentration and longevity. Ripe red fruits are cut by dark tannins and equal acidity, allowing the wine to mature slowly and well. Drink from 2024.",Les Petites Lolières Premier Cru,94,65.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Nicolas Potel 2018 Les Petites Lolières Premier Cru  (Aloxe-Corton),Pinot Noir,Nicolas Potel, 2018 Les Petites Lolières Premier Cru  (Aloxe-Corton),2018,Good
22503,France,"This wine comes from a vineyard that is wholly owned by Chanson. It is juicy, ripe while having a great, straight line of acidity. The red-berry fruits are still developing and coming through the firm, smoky dark tannins. The wine, with its spicy aftertaste, will be ready to drink from 2024.",Clos des Fèves Premier Cru,94,118.0,Burgundy,Beaune,,Roger Voss,@vossroger,Chanson Père et Fils 2017 Clos des Fèves Premier Cru  (Beaune),Pinot Noir,Chanson Père et Fils, 2017 Clos des Fèves Premier Cru  (Beaune),2017,Good
22507,France,"This rich wine is dense with dark tannins and concentrated structure. The vineyard, with cool winds from the valley behind, gives wines that demand aging with their tannins and fragrant fruit. The aftertaste is full of promise. Drink after 2022.",Lavaux Saint-Jacques Premier Cru,94,130.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Albert Bichot 2018 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),Pinot Noir,Albert Bichot, 2018 Lavaux Saint-Jacques Premier Cru  (Gevrey-Chambertin),2018,Good
22511,France,"This is a rich, smoky and structured wine. Black fruit and dark tannins form a dense texture with touches of licorice, spice and dark concentration. The acidity hints at the vintage giving a touch of freshness and lift. Drink this powerful wine from 2024",Domaine du Clos Frantin Les Malconsorts Premier Cru,94,195.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Albert Bichot 2018 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),Pinot Noir,Albert Bichot, 2018 Domaine du Clos Frantin Les Malconsorts Premier Cru  (Vosne-Romanée),2018,Good
22516,France,"A flagship of the Faiveley range, this is a structured wine with great acidity and beautiful perfumes. The wine is dense, already balanced with the red fruits shining through the tannins. It will develop slowly and will not be ready to drink before 2023.",Clos des Cortons Faiveley,94,279.0,Burgundy,Corton,,Roger Voss,@vossroger,Domaine Faiveley 2018 Clos des Cortons Faiveley  (Corton),Pinot Noir,Domaine Faiveley, 2018 Clos des Cortons Faiveley  (Corton),2018,Good
22694,France,"Jessiaume is based in Santenay and the wine shows the attraction of this village at the southern end of the Côte de Beaune. It reveals soft fruit, warmed by a jammy layer of red berries and ripe acidity.",,87,28.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Jessiaume 2012  Santenay,Pinot Noir,Domaine Jessiaume, 2012  Santenay,2012,Mid
23024,France,"Celebrating the founding in 1875 of Antonin Rodet, this ripe, perfumed wine has red fruits that are opulent, gloriously drinkable already. It's ripe, softly textured, layered with delicate acidity.",Héritage Rodet,88,28.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Antonin Rodet 2014 Héritage Rodet  (Mercurey),Pinot Noir,Antonin Rodet, 2014 Héritage Rodet  (Mercurey),2014,Mid
23045,France,"The largest appellation in the Côte Chalonnaise produces here a foursquare, solid wine. It has red fruits, although the structure is what is dominant at this stage. There is a dry, smoky, meaty flavor that marches with the final acidity.",Buissonnier,88,22.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Vignerons de Buxy 2015 Buissonnier  (Mercurey),Pinot Noir,Vignerons de Buxy, 2015 Buissonnier  (Mercurey),2015,Mid
23433,France,"This is full of fruit and weighty tannins. Coming from one of the finest vineyards in Burgundy, it is going to have great power and an opulent nature. This wine also has elegance, its black fruits controlled and with a mineral edge. That doesn't take away the power, it enhances the stylishness of this grand wine. Drink from 2024.",,96,240.0,Burgundy,Chambertin,,Roger Voss,@vossroger,Domaine Rossignol-Trapet 2015  Chambertin,Pinot Noir,Domaine Rossignol-Trapet, 2015  Chambertin,2015,Good
23435,France,"This is powerful and rich, allowing just a note of freshness to creep into the firm structure. Dark tannins, black fruits and smoky wood flavors combine harmoniously, lending a sense of great power and long-term aging potential. Drink from 2023.",Le Corton,96,115.0,Burgundy,Corton,,Roger Voss,@vossroger,Bouchard Père & Fils 2015 Le Corton  (Corton),Pinot Noir,Bouchard Père & Fils, 2015 Le Corton  (Corton),2015,Good
23482,France,"The nose is shy and does not give much away. On the palate, beautifully pure red currant and tart red-cherry notes come through. The slender body is pervaded by freshness and has lovely overtones of conifer and oak leaf. It is later on that the fine but firm structure comes to bear. This is light but has depth and the potential to develop.",Signature,90,25.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,René Muré 2019 Signature Pinot Noir (Alsace),Pinot Noir,René Muré, 2019 Signature Pinot Noir (Alsace),2019,Mid
23536,France,"This fresh, fruity wine is full of red cherry and berry flavors. A light touch of tannin holds the fruit and acidity together. It's a fine, simple Burgundy, ready to be drunk now.",Beaucharme,85,19.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Louis Max 2017 Beaucharme  (Bourgogne),Pinot Noir,Louis Max, 2017 Beaucharme  (Bourgogne),2017,Bad
23618,France,"This two-acre premier cru situated north of Beaune city gives smooth and rich wines. This bottling shows the acidity of the vintage while also having a full, round character, ripe with strawberries and crisp with acidity. The wine needs more time, so drink from 2023.",En Genêt Premier Cru,91,55.0,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine Arnoux Père et Fils 2018 En Genêt Premier Cru  (Beaune),Pinot Noir,Domaine Arnoux Père et Fils, 2018 En Genêt Premier Cru  (Beaune),2018,Good
24064,France,"Irancy produces lightweight Pinot Noir, emphasizing the freshest raspberry flavors, allied to soft, dry tannins. There is a smoky element here that is attractive. The finish, with its acidity, shows the crispness of this northern production area.",,85,20.0,Burgundy,Irancy,,Roger Voss,@vossroger,Simonnet-Febvre 2010  Irancy,Pinot Noir,Simonnet-Febvre, 2010  Irancy,2010,Bad
24345,France,"Smells like Pinot, with meaty plum and fleshy black cherry aromas. Tastes like Pinot, with a supple texture and cola and black cherry flavors. Why can't more wineries turn out good Pinot at this price?",Domaine de Valmoissine,86,12.0,Provence,Vin de Pays Var,,,,Louis Latour 2004 Domaine de Valmoissine Pinot Noir (Vin de Pays Var),Pinot Noir,Louis Latour, 2004 Domaine de Valmoissine Pinot Noir (Vin de Pays Var),2004,Bad
24769,France,"Big, firm and dense, this is a powerful wine, with dark tannins that give a dry, concentrated character. The juicy plum and damson fruit flavors, along with the fresh aftertaste, will be a delicious balance as the wine develops. Drink from 2024.",,93,260.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Jean-Luc and Paul Aegerter 2017  Clos de Vougeot,Pinot Noir,Jean-Luc and Paul Aegerter, 2017  Clos de Vougeot,2017,Good
24892,France,"This is an earthy wine that shows a rustic character. Still youthful, its fruit is obscured behind a dry, tannic, burnt-toast character. There is a future for this wine, as it should integrate with age, so don't try to drink until 2020.",La Brigadière Vieilles Vignes,85,27.0,Burgundy,Mercurey,,Roger Voss,@vossroger,Château Philippe-le-Hardi 2016 La Brigadière Vieilles Vignes  (Mercurey),Pinot Noir,Château Philippe-le-Hardi, 2016 La Brigadière Vieilles Vignes  (Mercurey),2016,Bad
25106,France,"This is a direct but tasty and well-balanced Pinot, with vibrant aromas and flavors of juicy cherry, blueberry and wild strawberry, all graced by hints of purple flowers and sweet spice. The mouthfeel is soft yet structured, with delicate tannins and a slight lushness that lingers on the finish.",,87,7.0,France Other,Vin de France,,Lauren Buzzeo,@laurbuzz,Le Pépin 2019 Pinot Noir (Vin de France),Pinot Noir,Le Pépin, 2019 Pinot Noir (Vin de France),2019,Mid
25158,France,"Fresh and juicy, this is a soft and rounded wine. It has gentle tannins, along with stylish acidity and red fruit flavors. Already, it is becoming drinkable, so don't expect the wine to age over the long term. Drink from 2020.",,88,80.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Manuel Olivier 2015  Chambolle-Musigny,Pinot Noir,Manuel Olivier, 2015  Chambolle-Musigny,2015,Mid
25247,France,"This is a warm and round wine from Irancy, southwest of Chablis. Red fruits are sustained by some wood aging that smoothes out the stalky texture and spice. It's a wine that could age another couple of years to soften it further.",,87,25.0,Burgundy,Irancy,,Roger Voss,@vossroger,Simonnet-Febvre 2016  Irancy,Pinot Noir,Simonnet-Febvre, 2016  Irancy,2016,Mid
25348,France,"At this stage, the wine is all dark structure and very firm. It will need time to develop its full potential as an intensely rich wine. Concentrated and firm, it is powered by tannins as well as sweet red fruits. So age for five years at least.",Petite Chapelle Premier Cru,94,85.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Louis Jadot 2013 Petite Chapelle Premier Cru  (Gevrey-Chambertin),Pinot Noir,Louis Jadot, 2013 Petite Chapelle Premier Cru  (Gevrey-Chambertin),2013,Good
25542,France,The wine is dense with fine concentration and a solid dry tannin character at the back. It is full of black fruits and balanced acidity. Its richness reflects the quality of the vintage and its aging potential. Drink from 2022.,Les Chaillots Premier Cru,92,80.0,Burgundy,Aloxe-Corton,,Roger Voss,@vossroger,Louis Latour 2019 Les Chaillots Premier Cru  (Aloxe-Corton),Pinot Noir,Louis Latour, 2019 Les Chaillots Premier Cru  (Aloxe-Corton),2019,Good
25558,France,"This is a ripe wine, soft on the normal tannins of this appellation and big on the black-cherry and berry fruits. It does have a firm core, cushioned by the generous fruitiness. Drink this wine from 2024.",,91,78.0,Burgundy,Pommard,,Roger Voss,@vossroger,Château de Santenay 2019  Pommard,Pinot Noir,Château de Santenay, 2019  Pommard,2019,Good
25563,France,"A ripe and full wine, packed with fruit. It has a toasty character, spice and bright red-berry fruits that give the wine its crisp acidity and balance the riper smooth texture that is developing. Give this wine until 2022.",,91,31.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Denis Père et Fils 2019  Savigny-lès-Beaune,Pinot Noir,Denis Père et Fils, 2019  Savigny-lès-Beaune,2019,Good
25676,France,"Soft and ripe, this is a broad wine. Its tannins are enveloped by the rich plum and damson fruit flavors. It combines the richness of the vintage with the softness of a Savigny in an already delicious whole.",Les Serpentières Premier Cru,88,48.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Maurice Ecard 2013 Les Serpentières Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Maurice Ecard, 2013 Les Serpentières Premier Cru  (Savigny-lès-Beaune),2013,Mid
25780,France,"This fresh wine is all about fruit. Soft tannins and attractive strawberry flavors are lightly cut with acidity. Coming from vines between 50 and 60 years of age, it has some extra concentration. Drink this fragrant wine now.",Vieilles Vignes,87,21.0,Burgundy,Bourgogne,,Roger Voss,@vossroger,Roche de Bellene 2016 Vieilles Vignes  (Bourgogne),Pinot Noir,Roche de Bellene, 2016 Vieilles Vignes  (Bourgogne),2016,Mid
25809,France,"This premier cru, surrounded by grand cru vineyards, has produced a luscious, ripe wine. It's generous in both black fruit flavor and structure, showing great potential for aging. Drink from 2021.",Les Suchots Premier Cru,93,166.0,Burgundy,Vosne-Romanée,,Roger Voss,@vossroger,Louis Jadot 2018 Les Suchots Premier Cru  (Vosne-Romanée),Pinot Noir,Louis Jadot, 2018 Les Suchots Premier Cru  (Vosne-Romanée),2018,Good
25877,France,"Definitely wood-aged, this seriously toasty wine seems to have lost its fruit along the way. It gives a hard and tough character that is partly redeemed by juicy acidity at the end.",Domaine Saint-Rémy Barrique,84,33.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Ehrhart 2016 Domaine Saint-Rémy Barrique Pinot Noir (Alsace),Pinot Noir,Domaine Ehrhart, 2016 Domaine Saint-Rémy Barrique Pinot Noir (Alsace),2016,Bad
25879,France,"A red wine that relies on its fruitiness to succeed. Red berries and plums show strongly, aided by acidity. The texture has a stalky character with a bitter green herb aftertaste. Drink now.",Tradition,84,27.0,Alsace,Alsace,,Roger Voss,@vossroger,Domaine Vincent Stoeffler 2016 Tradition Pinot Noir (Alsace),Pinot Noir,Domaine Vincent Stoeffler, 2016 Tradition Pinot Noir (Alsace),2016,Bad
25893,France,"With its attractive red-fruit flavors, this is a light, perfumed wine. It has spice, fine acidity and a smooth texture that is just lifted by tannins. Drink now.",Gerard Depardieu,87,22.0,France Other,Vin de France,,Roger Voss,@vossroger,Château de Tigné 2018 Gerard Depardieu Pinot Noir (Vin de France),Pinot Noir,Château de Tigné, 2018 Gerard Depardieu Pinot Noir (Vin de France),2018,Mid
25989,France,"This is a ripe, smoky and generous wine. It has spice and wood flavors that are balanced with the red berry and cherry fruits and the crisp acidity of the vintage. With its rich character, it will age gently over the next few years and be ready to drink from 2022.",Petits Crais,91,50.0,Burgundy,Fixin,,Roger Voss,@vossroger,Domaine Huguenot 2018 Petits Crais  (Fixin),Pinot Noir,Domaine Huguenot, 2018 Petits Crais  (Fixin),2018,Good
26069,France,"In the past, there was much more red wine than white wine produced in Chassagne-Montrachet. This firm, tannic wine, with its austere fruit, shows a similarity to Pommard. This is a wine that needs to age for over several years in order for it to soften and become round, and for the red berry fruit to surface.",,87,60.0,Burgundy,Chassagne-Montrachet,,Roger Voss,@vossroger,Olivier Leflaive 2014  Chassagne-Montrachet,Pinot Noir,Olivier Leflaive, 2014  Chassagne-Montrachet,2014,Mid
26346,France,"Savigny-lès-Beaune often shows the softer side of Pinot Noir. This wine has juicy red-cherry and raspberry flavors that balance the gentle, dry tannins. The low-yielding old vines from which the fruit was sourced give this selection extra concentration. This will benefit from medium-term aging.",Vieilles Vignes,90,58.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Roche de Bellene 2014 Vieilles Vignes  (Savigny-lès-Beaune),Pinot Noir,Roche de Bellene, 2014 Vieilles Vignes  (Savigny-lès-Beaune),2014,Mid
26356,France,"This is a smooth and polished wine, with herb and new wood aromas. It has juicy red-berry flavors, and the tannins push forward. Structured, with intense acidity, this is ready to age for at least 5–6 years.",Gravières Premier Cru,90,47.0,Burgundy,Santenay,,Roger Voss,@vossroger,Domaine Jessiaume 2014 Gravières Premier Cru  (Santenay),Pinot Noir,Domaine Jessiaume, 2014 Gravières Premier Cru  (Santenay),2014,Mid
26357,France,"An old-vine wine, this is powerful, concentrated and impressively dense for a Marsannay. It is full of red plum and berry flavors, plus firm tannins that suggest this could age for several years.",L'Ancestrale,90,73.0,Burgundy,Marsannay,,Roger Voss,@vossroger,Domaine Sylvain Pataille 2014 L'Ancestrale  (Marsannay),Pinot Noir,Domaine Sylvain Pataille, 2014 L'Ancestrale  (Marsannay),2014,Mid
26424,France,"This is a beautiful, ripe and floral wine. It does have structure although the main focus is on the rich, juicy fruit. Berries and red plums push through the rounded tannins. It will age magnificently, with great richness.",,94,314.0,Burgundy,Latricières-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2018  Latricières-Chambertin,Pinot Noir,Domaine Faiveley, 2018  Latricières-Chambertin,2018,Good
26425,France,"Big, juicy and smoky, this powerful wine comes from vines in the center of the vineyard. Black fruits and firm tannins dominate the richness of the wine with its dark structure and concentration. A touch of chocolate and licorice partners with the generous fruits. Drink from 2024.",,94,299.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Domaine Jacques Prieur 2018  Clos de Vougeot,Pinot Noir,Domaine Jacques Prieur, 2018  Clos de Vougeot,2018,Good
26428,France,"This wine comes from a vineyard surrounded by Grand Crus. It delivers a huge, smoky palate that is firm with tannins and dense with structure and fruit. The wine is rich, still shot through with the freshness of the vintage. Black fruits are balanced by the dry core of the wine. It will age well, and should not be drunk before 2022.",Aux Combottes Premier Cru,94,115.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Nicolas Potel 2018 Aux Combottes Premier Cru  (Gevrey-Chambertin),Pinot Noir,Nicolas Potel, 2018 Aux Combottes Premier Cru  (Gevrey-Chambertin),2018,Good
26438,France,"Ripe and generous, this floral wine is dense with fruit as much as tannins. It is full of blackberry and plum flavors, ripe while also cut with acidity. The spice that comes from the wood aging shows well, adding a further element. Drink the wine from 2022.",Les Amoureuses Premier Cru,94,355.0,Burgundy,Chambolle-Musigny,,Roger Voss,@vossroger,Albert Bichot 2018 Les Amoureuses Premier Cru  (Chambolle-Musigny),Pinot Noir,Albert Bichot, 2018 Les Amoureuses Premier Cru  (Chambolle-Musigny),2018,Good
26439,France,"This wine is already well balanced. Ripe strawberries and red cherries are shot through with the acidity of the vintage. The tannins are present, complementing the already attractive fruits. The aftertaste shows the considerable potential with its tannins. Drink from 2024.",Les Cazetiers Premier Cru,94,145.0,Burgundy,Gevrey-Chambertin,,Roger Voss,@vossroger,Domaine Faiveley 2018 Les Cazetiers Premier Cru  (Gevrey-Chambertin),Pinot Noir,Domaine Faiveley, 2018 Les Cazetiers Premier Cru  (Gevrey-Chambertin),2018,Good
26446,France,"This is a rich wine from several parcels of vines in the Clos de Vougeot. It has great intensity, powered both by tannins and by the dark black fruits. Serious and concentrated, the wine will age magnificently. Drink from 2024.",Domaine du Clos Frantin,94,306.0,Burgundy,Clos de Vougeot,,Roger Voss,@vossroger,Albert Bichot 2018 Domaine du Clos Frantin  (Clos de Vougeot),Pinot Noir,Albert Bichot, 2018 Domaine du Clos Frantin  (Clos de Vougeot),2018,Good
26447,France,"One-quarter of the Clos des Maréchaudes is classified Grand Cru, as the soil and the slope change. This shows in the power of the wine with its smoky tannins and dark character. Black fruits and a dense texture signify a wine with power and longevity. Drink from 2022.",Domaine du Pavillon Clos des Maréchaudes,94,150.0,Burgundy,Corton,,Roger Voss,@vossroger,Albert Bichot 2018 Domaine du Pavillon Clos des Maréchaudes  (Corton),Pinot Noir,Albert Bichot, 2018 Domaine du Pavillon Clos des Maréchaudes  (Corton),2018,Good
26598,France,"With crushed strawberry and caramel flavors, this is relatively light wine, though elegant and pierced with acidity. Milk chocolate and soft tannins complete an attractive ensemble.",Aux Cras,89,56.0,Burgundy,Beaune,,Roger Voss,@vossroger,Camille Giroud 2012 Aux Cras  (Beaune),Pinot Noir,Camille Giroud, 2012 Aux Cras  (Beaune),2012,Mid
26675,France,"The relatively unknown Pezerolles Vineyard is at the far northern end of Pommard, touching Beaune above Les Epenots. It produces wine that seems softer than many Pommards, with rich fruit, the tannins firm but definitely playing second fiddle. It is the smoky plum fruit with just a dash of acidity that makes this immensely pleasing.",Les Pezerolles Premier Cru,91,90.0,Burgundy,Pommard,,Roger Voss,@vossroger,Bouchard Père & Fils 2010 Les Pezerolles Premier Cru  (Pommard),Pinot Noir,Bouchard Père & Fils, 2010 Les Pezerolles Premier Cru  (Pommard),2010,Good
